,date,debate_name,debate_section,speaker,speech,speaking_time_seconds,candidate,bow_representation
671,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,You  simply stand here and trash an idea to give healthcare coverage to everyone without having a realistic plan of your own. And if  not going to own up to the fact either that you  have a plan or that your plan is going to leave people without healthcare coverage full coverage then you need to say so. I just want to stay on this   was in Reno when I met a man who said he had diabetes. He gets his insulin through the VA but his sister and his daughter also have diabetes. No way to pay for their insulin. Three human beings right here in Nevada who are struggling. They share one insulin prescription. This should not happen  ,44.0,True,"[('you', 1), ('simply', 1), ('trash', 1), ('idea', 1), ('give', 1), ('healthcare', 2), ('coverage', 3), ('everyone', 1), ('realistic', 1), ('plan', 3), ('and', 1), ('go', 2), ('either', 1), ('leave', 1), ('full', 1), ('stay', 1), ('reno', 1), ('met', 1), ('man', 1), ('say', 1), ('diabetes', 2), ('get', 1), ('insulin', 3), ('sister', 1), ('daughter', 1), ('pay', 1), ('three', 1), ('human', 1), ('being', 1), ('nevada', 1), ('struggle', 1), ('they', 1), ('share', 1), ('prescription', 1), ('this', 1)]"
672,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,Okay. Very quickly. Mayor Bloomberg is Vice President Biden right and you  a fan of Obamacare?,5.0,False,"[('okay', 1), ('very', 1), ('quickly', 1), ('mayor', 1), ('bloomberg', 1), ('vice', 1), ('president', 1), ('biden', 1), ('fan', 1), ('obamacare', 1)]"
675,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,Mr Vice President I just checked the record because  said one time that I was not. In '09 I testified and gave a speech before the mayor conference in Washington advocating it and trying to get all the mayors to sign on. And I think at that time I wrote an article praising Obamacare. It was either in the New York Post or the Daily News so the facts are I was  ,24.0,True,"[('vice', 1), ('president', 1), ('checked', 1), ('record', 1), ('say', 1), ('testify', 1), ('give', 1), ('speech', 1), ('conference', 1), ('washington', 1), ('advocate', 1), ('try', 1), ('mayor', 1), ('sign', 1), ('and', 1), ('write', 1), ('article', 1), ('praise', 1), ('obamacare', 1), ('either', 1), ('new', 1), ('york', 1), ('post', 1), ('daily', 1), ('news', 1), ('fact', 1)]"
677,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,Let me finish. Thank you. I was in favor of it. I thought it  do  go as far as we should. What Trump has done to this is a disgrace. The first thing  got to do is get the White House and bring back those things that will left and then find a ways to expand it. Another public option to having some rules about capping charges. All of those things. We  just walk away and start something that is totally new untried. People  ,31.0,True,"[('let', 1), ('finish', 1), ('thank', 1), ('favor', 1), ('thought', 1), ('far', 1), ('what', 1), ('trump', 1), ('do', 1), ('disgrace', 1), ('the', 1), ('get', 1), ('white', 1), ('house', 1), ('thing', 2), ('left', 1), ('find', 1), ('way', 1), ('expand', 1), ('another', 1), ('public', 1), ('option', 1), ('rule', 1), ('cap', 1), ('charge', 1), ('all', 1), ('walk', 1), ('totally', 1), ('untried', 1), ('people', 1)]"
679,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,The mayor said when we passed it the signature piece of this administration  a disgrace.  the exact words. It was a disgrace. Look it up. Check it out. It was a disgrace.   covered by the way that plan you do not have surprise billing. You bring down drug prices. People are not  Give people all the things  just talking about. I guess  not got all the time to do it but if I get a chance to talk  ,25.0,True,"[('the', 1), ('say', 1), ('pass', 1), ('signature', 1), ('piece', 1), ('administration', 1), ('disgrace', 3), ('exact', 1), ('word', 1), ('look', 1), ('check', 1), ('cover', 1), ('plan', 1), ('surprise', 1), ('billing', 1), ('you', 1), ('drug', 1), ('price', 1), ('people', 1), ('give', 1), ('thing', 1), ('talk', 1), ('guess', 1), ('get', 1), ('chance', 1)]"
683,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt, at the beginning of this debate you took some incoming fire on this next topic so let get into it. In 2015 this is how you described your policing policy as mayor quote We put all the cops in the minority neighborhoods. And you explain that is quote Because  where all the crime is.,16.0,False,"[('begin', 1), ('take', 1), ('incoming', 1), ('fire', 1), ('topic', 1), ('described', 1), ('police', 1), ('policy', 1), ('quote', 2), ('cop', 1), ('minority', 1), ('neighborhood', 1), ('and', 1), ('explain', 1), ('because', 1), ('crime', 1)]"
684,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,You went on to say And the way you should get the guns out of the kids' hands is to throw them against the wall and frisk them.  apologized for that policy but what does that kind of language say about how you view people of color or people in minority neighborhoods?,14.0,False,"[('you', 1), ('go', 1), ('and', 1), ('gun', 1), ('kid', 1), ('hand', 1), ('throw', 1), ('wall', 1), ('frisk', 1), ('apologize', 1), ('policy', 1), ('language', 1), ('view', 1), ('color', 1), ('minority', 1), ('neighborhood', 1)]"
685,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,Well if I go back and look at my time in office the one thing that  really worried about embarrassed about was how it turned out with Stop and Frisk. When I got into office there was 650 murders a year in New York City. I thought that my first responsibility was to give people the right to live. That the basic right of everything. And we started we adopted a policy which had been in place. The policy that all big police departments use of stop and frisk.,36.0,True,"[('well', 1), ('office', 2), ('worried', 1), ('embarrass', 1), ('turn', 1), ('stop', 1), ('frisk', 2), ('when', 1), ('get', 1), ('murder', 1), ('new', 1), ('york', 1), ('city', 1), ('thought', 1), ('responsibility', 1), ('give', 1), ('that', 1), ('basic', 1), ('everything', 1), ('and', 1), ('start', 1), ('adopt', 1), ('policy', 2), ('the', 1), ('police', 1), ('department', 1)]"
686,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,What happened however was it got out of control. And when we discovered I discovered that we were doing many many too many stop and frisks we cut 95% of it out.  sat down with a bunch of African-American clergy and business people to talk about this to try to learn.  talked to a number of kids  been stopped. I was trying to understand how we change our policies so we can keep the city safe because the crime rate did go from 650 50% down to 300. And we have to keep lid on crime but we cannot go out and stop people indiscriminately. That was what was happening.,44.0,True,"[('what', 1), ('happen', 2), ('however', 1), ('get', 1), ('control', 1), ('and', 2), ('discover', 2), ('frisk', 1), ('cut', 1), ('sat', 1), ('bunch', 1), ('africanamerican', 1), ('clergy', 1), ('business', 1), ('learn', 1), ('talk', 1), ('kid', 1), ('stop', 1), ('try', 1), ('change', 1), ('policy', 1), ('city', 1), ('safe', 1), ('crime', 2), ('rate', 1), ('lid', 1), ('indiscriminately', 1), ('that', 1)]"
687,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,Mayor thank you. Let me go to Vice President Biden with this. You want to respond to that? Put an end to it?,4.0,False,"[('mayor', 1), ('let', 1), ('vice', 1), ('president', 1), ('biden', 1), ('you', 1), ('respond', 1), ('put', 1), ('end', 1)]"
688,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,Yes. Let get something straight. The reason the stop and frisk change is because Barack Obama sent moderators to see what was going on. When we sent them there to say This practice has to stop the mayor thought it was a terrible idea. We send them there a terrible idea. Let get the facts straight. Let get the order straight. And  not whether he apologize or not  the policy. The policy was abhorrent and it was in fact of violation of every right people have. We are the one our administration sent in people to monitor it. And the very time the mayor argued against that. This idea that he figured out it was a bad idea. He figured out it was a bad idea after we sent in monitors and said it must stop. Even then he continued the policy.,51.0,True,"[('yes', 1), ('let', 3), ('straight', 3), ('the', 2), ('reason', 1), ('frisk', 1), ('change', 1), ('barack', 1), ('obama', 1), ('sent', 4), ('moderator', 1), ('go', 1), ('when', 1), ('this', 2), ('practice', 1), ('thought', 1), ('terrible', 2), ('idea', 5), ('send', 1), ('fact', 1), ('order', 1), ('and', 2), ('apologize', 1), ('policy', 3), ('abhorrent', 1), ('violation', 1), ('administration', 1), ('monitor', 2), ('argue', 1), ('figure', 2), ('say', 1), ('even', 1), ('continued', 1)]"
689,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,All right. Mayor would you like to make a quick response to that?,1.0,False,"[('all', 1), ('mayor', 1), ('quick', 1), ('response', 1)]"
690,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,Yes I would.  sat.  apologized.  asked for forgiveness but the bottom line is that we stopped too many people. We stopped too many people and  got to make sure that we do something about criminal justice in this country. There is no great answer to a lot of these problems. If we took off everybody that was wrong off this panel everybody that was wrong on criminal justice at some time in their careers  be nobody else up here.,30.0,True,"[('yes', 1), ('sat', 1), ('apologize', 1), ('ask', 1), ('forgiveness', 1), ('bottom', 1), ('line', 1), ('stop', 2), ('get', 1), ('criminal', 2), ('justice', 2), ('there', 1), ('problem', 1), ('take', 1), ('everybody', 2), ('panel', 1), ('career', 1), ('nobody', 1)]"
694,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,I do think that this really is about leadership and accountability. When the mayor says that he apologized listen very closely to the apology. The language he used is about stop and frisk. It about how it turned out. Now this  about how it turned out. This is about what it was designed to do to begin with. It targeted communities of color it targeted black and brown men from the beginning. And if you want to issue a real apology then the apology has to start with the intent of the plan as it was put together and the willful ignorance day by day by day of admitting what was happening. Even as people protested in your own street shutting out the sounds of people telling you how your own policy was breaking their lives. You need a different apology.,55.0,True,"[('leadership', 1), ('accountability', 1), ('when', 1), ('say', 1), ('apologize', 1), ('listen', 1), ('closely', 1), ('apology', 4), ('the', 1), ('language', 1), ('use', 1), ('frisk', 1), ('turn', 2), ('now', 1), ('this', 1), ('design', 1), ('target', 2), ('community', 1), ('color', 1), ('black', 1), ('brown', 1), ('men', 1), ('begin', 1), ('and', 1), ('intent', 1), ('plan', 1), ('together', 1), ('willful', 1), ('ignorance', 1), ('admit', 1), ('happen', 1), ('even', 1), ('protest', 1), ('street', 1), ('shut', 1), ('sound', 1), ('tell', 1), ('policy', 1), ('break', 1), ('life', 1), ('you', 1)]"
697,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,Senator Klobuchar  going to stay on this topic but I want to get something in here with Senator Klobuchar. When you were the top prosecutor in Minneapolis Senator there were at least two dozen instances where police were involved in the deaths of civilians. None of those officers were prosecuted. You did prosecute a black teenager who was sentenced to life in prison despite what are now serious doubts about the evidence. Now the Minneapolis chapter of the NAACP has recently called for you to suspend your campaign over that case because some new evidence has come out since. Big picture. Why should black and Latino voters trust your judgment now if it appears you may have gotten it wrong then?,38.0,False,"[('senator', 3), ('klobuchar', 2), ('go', 1), ('stay', 1), ('topic', 1), ('when', 1), ('top', 1), ('prosecutor', 1), ('minneapolis', 2), ('least', 1), ('dozen', 1), ('instance', 1), ('police', 1), ('involve', 1), ('death', 1), ('civilian', 1), ('none', 1), ('officer', 1), ('prosecute', 2), ('you', 1), ('black', 2), ('teenager', 1), ('sentence', 1), ('life', 1), ('prison', 1), ('despite', 1), ('serious', 1), ('doubt', 1), ('evidence', 2), ('now', 1), ('chapter', 1), ('naacp', 1), ('recently', 1), ('call', 1), ('suspend', 1), ('campaign', 1), ('case', 1), ('since', 1), ('big', 1), ('picture', 1), ('why', 1), ('latino', 1), ('voter', 1), ('trust', 1), ('judgment', 1), ('appear', 1), ('may', 1), ('gotten', 1)]"
698,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,First  start with that case. It is very clear that any evidence if there is new evidence even old evidence it should be reviewed by that office and by the County attorney. That must happen. I have called for that review. This was a case involving an 11-year-old African-American girl named Tyesha Edwards who was shot doing her homework at her kitchen table. Three people were convicted. One of the cases is the one that is being investigated  was investigated by a journalist. And I think  very important that that evidence come forward.,38.0,True,"[('first', 1), ('case', 3), ('evidence', 4), ('old', 1), ('review', 2), ('office', 1), ('county', 1), ('attorney', 1), ('that', 1), ('call', 1), ('this', 1), ('involve', 1), ('africanamerican', 1), ('girl', 1), ('name', 1), ('tyesha', 1), ('edward', 1), ('shot', 1), ('homework', 1), ('kitchen', 1), ('table', 1), ('three', 1), ('convict', 1), ('one', 1), ('investigate', 2), ('journalist', 1), ('and', 1)]"
699,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,In terms of the police shootings that you noted those went to a grand jury every single one of them. And I made very clear for months now that like so many prosecutors I think those cases in my time they were all going to the grand jury. It was thought that was the best way to handle them in many many jurisdictions.,22.0,True,"[('term', 1), ('police', 1), ('shooting', 1), ('note', 1), ('go', 2), ('grand', 2), ('jury', 2), ('and', 1), ('make', 1), ('month', 1), ('prosecutor', 1), ('case', 1), ('thought', 1), ('handle', 1), ('jurisdiction', 1)]"
700,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Moderator,Do you think you  spoke up? You  speak up at the time. Should you?,0.0,False,"[('spoke', 1), ('you', 1), ('speak', 1), ('should', 1)]"
701,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,I actually did speak up on something very similar and that was when our police chief in Minneapolis tried to take the investigations of police shootings into his own hands. I strongly said I disagreed with that. Now I do believe also that a prosecutor should make those decisions herself.,17.0,True,"[('speak', 1), ('similar', 1), ('police', 2), ('chief', 1), ('minneapolis', 1), ('try', 1), ('investigation', 1), ('shooting', 1), ('hand', 1), ('strongly', 1), ('say', 1), ('disagreed', 1), ('now', 1), ('believe', 1), ('prosecutor', 1), ('decision', 1)]"
702,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,And the last thing I will say because you asked the question about voting I have the support of African-Americans in my community in every election. I had strong support and strong support of leadership. And  because I earned it. And this is going to be on me to earn it. You earn it with what you stand for when it comes to equal opportunity. You earn it with the work that I have done the leadership  shown on voting rights. And yes you earn it with the work that must be done on criminal justice reform.,28.0,True,"[('and', 4), ('ask', 1), ('voting', 2), ('support', 3), ('africanamericans', 1), ('community', 1), ('election', 1), ('strong', 2), ('leadership', 2), ('earn', 5), ('go', 1), ('you', 2), ('come', 1), ('equal', 1), ('opportunity', 1), ('work', 2), ('do', 2), ('show', 1), ('right', 1), ('criminal', 1), ('justice', 1), ('reform', 1)]"
704,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,I wan to talk about transparency here.   many Democrats including most of you on stage have criticized president Trump for his lack of transparency. But Senator Sanders when you are here in Las Vegas in October you are hospitalized with a heart attack. Afterwards you pledged to make a quote All your medical records public.  released three letters from your doctors but you now say you  release anything more. What happened to your promise of full transparency?,24.0,False,"[('wan', 1), ('transparency', 3), ('democrat', 1), ('include', 1), ('criticize', 1), ('trump', 1), ('lack', 1), ('but', 1), ('senator', 1), ('sander', 1), ('la', 1), ('vega', 1), ('october', 1), ('hospitalize', 1), ('heart', 1), ('attack', 1), ('afterwards', 1), ('pledge', 1), ('quote', 1), ('all', 1), ('medical', 1), ('record', 1), ('public', 1), ('release', 2), ('letter', 1), ('doctor', 1), ('anything', 1), ('what', 1), ('happen', 1), ('promise', 1), ('full', 1)]"
705,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,I think we did. Let me tell you what happened. First of all  right and thank you Las Vegas for the excellent medical care I got in the hospital two days. And I think the one area maybe that Mayor Bloomberg and I share you have stents as well.,16.0,True,"[('let', 1), ('happen', 1), ('first', 1), ('la', 1), ('vega', 1), ('excellent', 1), ('medical', 1), ('care', 1), ('get', 1), ('hospital', 1), ('day', 1), ('and', 1), ('area', 1), ('maybe', 1), ('mayor', 1), ('bloomberg', 1), ('share', 1), ('stent', 1)]"
707,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Well we both have two stents. It a procedure that is done about a million times a year. So we released the full report of that heart attack. Second of all we released the full my whole 29 years in the Capitol the attending physician all of my history medical history. And furthermore we released reports from two leading Vermont cardiologist who described my situation. And by the way who said Bernie Sanders is more than able to deal with the stress and the vigor of being president of the United States. Hey follow me around the campaign trail. Three four five events a day. See how  doing compared to me.,43.0,True,"[('well', 1), ('stent', 1), ('procedure', 1), ('do', 1), ('million', 1), ('time', 1), ('release', 3), ('full', 2), ('report', 2), ('heart', 1), ('attack', 1), ('second', 1), ('whole', 1), ('year', 1), ('capitol', 1), ('attend', 1), ('physician', 1), ('history', 2), ('medical', 1), ('and', 2), ('furthermore', 1), ('lead', 1), ('vermont', 1), ('cardiologist', 1), ('described', 1), ('situation', 1), ('say', 1), ('bernie', 1), ('sander', 1), ('able', 1), ('deal', 1), ('stress', 1), ('vigor', 1), ('united', 1), ('state', 1), ('hey', 1), ('follow', 1), ('campaign', 1), ('trail', 1), ('three', 1), ('five', 1), ('event', 1), ('see', 1), ('compare', 1)]"
708,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Mayor Buttigieg  been critical about transparency on this stage and people needing to do better. Is that response from Senator Sanders enough for you?,7.0,False,"[('mayor', 1), ('buttigieg', 1), ('critical', 1), ('transparency', 1), ('need', 1), ('well', 1), ('response', 1), ('senator', 1), ('sander', 1)]"
709,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,No  not because first of all let me say we are all delighted that you are in fighting shape.,4.0,True,"[('delighted', 1), ('fight', 1), ('shape', 1)]"
711,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,And at the same time transparency matters especially living through the Trump era. Now under president Obama the standard was that the president would release full medical records. Do a physical and release the readout. I think  the standard that we should hold ourselves to as well. Now President Trump lowered that standard. He said just a letter from a doctor is enough and a lot of folks on this stage are now saying  enough. But I am certainly prepared to get a physical put out the results. I think everybody here should be willing to do the same. But  actually less concerned about the lack of transparency on Sander personal health than I am about the lack of transparency on how to pay for his healthcare plan.,42.0,True,"[('and', 1), ('transparency', 3), ('matter', 1), ('especially', 1), ('living', 1), ('trump', 2), ('era', 1), ('now', 2), ('obama', 1), ('standard', 3), ('release', 2), ('full', 1), ('medical', 1), ('record', 1), ('physical', 2), ('readout', 1), ('hold', 1), ('president', 1), ('lower', 1), ('say', 2), ('letter', 1), ('doctor', 1), ('folk', 1), ('but', 2), ('certainly', 1), ('prepared', 1), ('result', 1), ('everybody', 1), ('willing', 1), ('less', 1), ('concerned', 1), ('lack', 2), ('sander', 1), ('personal', 1), ('health', 1), ('pay', 1), ('healthcare', 1), ('plan', 1)]"
712,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,Since he said that  impossible to even know how much  going to cost. And even after raising taxes on everybody making $29000 there is still a multi-trillion dollar hole. Matter of fact if you add up his policies altogether they come to $50 trillion. He only explained $25 trillion worth of revenue which means that the hole in there is bigger than the size of the entire economy of the United States.,25.0,True,"[('since', 1), ('say', 1), ('impossible', 1), ('go', 1), ('and', 1), ('raise', 1), ('tax', 1), ('everybody', 1), ('make', 1), ('multitrillion', 1), ('dollar', 1), ('hole', 2), ('matter', 1), ('add', 1), ('policy', 1), ('altogether', 1), ('trillion', 2), ('explain', 1), ('worth', 1), ('revenue', 1), ('mean', 1), ('bigger', 1), ('size', 1), ('entire', 1), ('economy', 1), ('united', 1), ('state', 1)]"
714,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,The time has come to level with the American people on matters personal and on matters of policy.,5.0,True,"[('the', 1), ('level', 1), ('american', 1), ('matter', 2), ('personal', 1), ('policy', 1)]"
716,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Let level. Let level Pete. Under your plan which is a maintenance continuation of the status quo-,7.0,True,"[('let', 2), ('level', 2), ('pete', 1), ('under', 1), ('plan', 1), ('maintenance', 1), ('continuation', 1), ('status', 1), ('quo', 1)]"
718,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Can I finish? The average American today is paying $12000 a year. That what that family is paying. 20% of a 60000 income $12000 a year. Highest prices in the world for prescription drugs. Just the other day a major study came out from Yale epidemiologists in Lancet one of the leading medical publications in the world. What they said my friends is Medicare for all will save $450 billion a year because we are eliminated the absurdity of thousands of separate plans that required hundreds of billions of dollars of administration. And by the way ending the hundred billion a year in profiteering for the drug companies and the insurance companies.,45.0,True,"[('can', 1), ('finish', 1), ('the', 1), ('average', 1), ('american', 1), ('pay', 2), ('that', 1), ('family', 1), ('income', 1), ('highest', 1), ('price', 1), ('world', 2), ('prescription', 1), ('drug', 2), ('just', 1), ('major', 1), ('study', 1), ('come', 1), ('yale', 1), ('epidemiologist', 1), ('lancet', 1), ('lead', 1), ('medical', 1), ('publication', 1), ('what', 1), ('say', 1), ('friend', 1), ('medicare', 1), ('save', 1), ('billion', 3), ('eliminate', 1), ('absurdity', 1), ('thousand', 1), ('separate', 1), ('plan', 1), ('require', 1), ('hundred', 2), ('dollar', 1), ('administration', 1), ('and', 1), ('end', 1), ('profiteer', 1), ('company', 2), ('insurance', 1)]"
720,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Senator Sanders thank you. Mayor Bloomberg I want to go to you on this.,2.0,False,"[('senator', 1), ('sander', 1), ('mayor', 1), ('bloomberg', 1)]"
722,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,That false. Look if my plan is to status quo why was it attacked by the insurance industry the moment it came out? And on issue after issue after issue this is what Senator Sanders is saying. If  not with him if  not all the way on his side then you must be for the status quo. Well you know what? That is a picture that leaves most of the American people out.,20.0,True,"[('that', 2), ('false', 1), ('look', 1), ('plan', 1), ('status', 2), ('quo', 2), ('attack', 1), ('insurance', 1), ('industry', 1), ('moment', 1), ('come', 1), ('and', 1), ('senator', 1), ('sander', 1), ('say', 1), ('side', 1), ('well', 1), ('picture', 1), ('leaf', 1), ('american', 1)]"
723,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,I want to go to Mayor Bloomberg on this the transparency issue.,3.0,False,"[('mayor', 1), ('bloomberg', 1), ('transparency', 1)]"
724,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Very briefly on transparency Mayor Bloomberg your campaign has said that you would eventually release your tax records-,6.0,False,"[('very', 1), ('briefly', 1), ('transparency', 1), ('mayor', 1), ('bloomberg', 1), ('campaign', 1), ('say', 1), ('eventually', 1), ('release', 1), ('tax', 1), ('record', 1)]"
726,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson, when it comes to transparency but people are already voting now. Why should democratic voters have to wait?,6.0,False,"[('come', 1), ('transparency', 1), ('already', 1), ('voting', 1), ('why', 1), ('democratic', 1), ('voter', 1), ('wait', 1)]"
729,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,Fortunately I make a lot of money and we do business all around the world and we are preparing it. The number of pages will probably be in the thousands of pages. I  go to Turbo Tax but I put out my tax return every year for 12 years in city hall. We will put out this one. It says tells everybody everything they need to know about every investments that I make and where the money goes. And the biggest item is all the money I give away and we list that. Every single donation I make and you can get that from our foundation anytime you want.,36.0,True,"[('fortunately', 1), ('money', 3), ('business', 1), ('world', 1), ('prepare', 1), ('the', 1), ('page', 2), ('probably', 1), ('thousand', 1), ('turbo', 1), ('tax', 2), ('return', 1), ('year', 1), ('city', 1), ('hall', 1), ('say', 1), ('tell', 1), ('everybody', 1), ('everything', 1), ('investment', 1), ('go', 1), ('and', 1), ('biggest', 1), ('item', 1), ('give', 1), ('list', 1), ('every', 1), ('donation', 1), ('foundation', 1), ('anytime', 1)]"
730,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar, just looking at my husband in the front row that has to like do our taxes all the time. We probably could go to Turbo Tax. And the point of this is I believe in transparency. I had a physical by the way. It came out well. We might all be surprised if my blood pressure is lower than Mayor Pete. That might really shock everyone out there. And I think you should release your records from your physical.,23.0,True,"[('look', 1), ('husband', 1), ('front', 1), ('row', 1), ('tax', 2), ('probably', 1), ('turbo', 1), ('and', 2), ('believe', 1), ('transparency', 1), ('physical', 2), ('come', 1), ('might', 2), ('surprised', 1), ('blood', 1), ('pressure', 1), ('lower', 1), ('mayor', 1), ('pete', 1), ('that', 1), ('shock', 1), ('everyone', 1), ('release', 1), ('record', 1)]"
731,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,Secondly when it comes to tax returns everyone up here has released their tax returns Mayor. And it is a major issue because the president of the United States has been hiding behind his tax returns even when courts order him to come forward with those tax returns. I  care how much money anyone has. I think  great you got a lot of money but I think  got to come forward with your tax returns.,25.0,True,"[('secondly', 1), ('come', 1), ('tax', 5), ('return', 5), ('everyone', 1), ('release', 1), ('mayor', 1), ('and', 1), ('major', 1), ('united', 1), ('state', 1), ('hiding', 1), ('behind', 1), ('court', 1), ('order', 1), ('care', 1), ('money', 2), ('anyone', 1), ('get', 2)]"
732,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Senator Warren  going to get to you in a second. Mayor Bloomberg quick response to Senator Klobuchar.,3.0,False,"[('senator', 2), ('warren', 1), ('go', 1), ('mayor', 1), ('bloomberg', 1), ('quick', 1), ('response', 1), ('klobuchar', 1)]"
733,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg, releasing them.  be out in a few weeks and  just as fast as I can do it. Remember I only entered into this race 10 weeks ago. All of my associates here have been at this for a couple of years.,13.0,True,"[('release', 1), ('week', 2), ('fast', 1), ('remember', 1), ('enter', 1), ('race', 1), ('all', 1), ('associate', 1), ('couple', 1), ('year', 1)]"
743,02-19-2020,"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Let me ask you about something else. Several former employees have claimed that your company was a hostile workplace for women. When you were confronted about it you admitted making sexually suggestive remarks saying quote That the way I grew up. In a lawsuit in the 1990s according to the Washington Post one former female employee alleged that you said quote I would do you in a second. Should Democrats expect better from their nominee?,24.0,False,"[('let', 1), ('several', 1), ('former', 2), ('employee', 2), ('claimed', 1), ('company', 1), ('hostile', 1), ('workplace', 1), ('woman', 1), ('when', 1), ('confront', 1), ('admit', 1), ('make', 1), ('sexually', 1), ('suggestive', 1), ('remark', 1), ('say', 2), ('quote', 2), ('that', 1), ('grow', 1), ('lawsuit', 1), ('accord', 1), ('washington', 1), ('post', 1), ('female', 1), ('allege', 1), ('should', 1), ('democrat', 1), ('expect', 1), ('well', 1), ('nominee', 1)]"
